_step,val/test_score/table__hitab/unknown,val/test_score/logic__graph_logical_dataset/unknown,val/test_score/stem__gpqa/Idavidrein/gpqa,val/test_score/simulation__arcagi1/unknown,val/test_score/codegen__livecodebench/LiveCodeBench,val/test_score/codegen__mbpp/mbpp,val/test_score/math__aime_repeated_8x/unknown,val/test_score/logic__ordering_puzzle_dataset/unknown,val/test_score/math__math/unknown,val/test_score/logic__zebra_puzzle_dataset/unknown,val/test_score/math__amc_repeated_4x/unknown,val/test_score/table__multihier/unknown,val/test_score/codegen__humaneval/openai_humaneval,val/generations,val/test_score/simulation__codeio/unknown,run_id,run_created_at,run_name
0,0.325,0.06493506493506493,0.23737373737373738,0.01,0.02867383512544803,0.53,0.004166666666666667,0.09,0.416,0.006534091085195541,0.1897590361445783,0.18,0.5365853658536586,"{'_latest_artifact_path': 'wandb-client-artifact://8b9sm2f26wjhnjwutbrloybxkoci2qjcmxlswqdivyj06a1viisawi72s9ytqlbbdtaqzgtx59z26dewbyxmpt88g67j6d6z8wh781yzodycsw3nsqpdbln6hzsue1co:latest/val/generations.table.json', 'size': 106957, 'path': 'media/table/val/generations_0_a5c94cc85820e73e63c4.table.json', '_type': 'table-file', 'ncols': 91, 'nrows': 1, 'sha256': 'a5c94cc85820e73e63c43558ca01d4bda52a6a4ba182667610ceb9ed1c131650', 'artifact_path': 'wandb-client-artifact://k6plnjejscgygopy0veuzlastrhzg2o0y3yj8kvp0ms7rmwatmixda3uuu4ia90z9v015fi71eps6b2s002czdj427h4ret86me06tqkby5emyik379o32rv0o3eu5gy/val/generations.table.json'}",0.035,8i67e0vf,2025-05-12T02:04:33Z,yolorun-azure-hpc-H200-instance-019.core42.ai-20250512_015607-Qwen2.5-7B-think-4node-guru-full-minibsz64
10,0.39,0.03896103896103896,0.26262626262626265,0.01,0.0967741935483871,0.54,0.04583333333333333,0.18,0.608,0.0249502166826278,0.2740963855421687,0.29,0.6524390243902439,"{'artifact_path': 'wandb-client-artifact://9xu0bz54u0hmfav6ilp1tvkyjlg689n1p569h4wywkouvm2dt0tltp2qei6g0gbv9tg17iq7fkpki0i2ouy571vjbr5md1m8bvy0k4vuiaty30kpqovrujrl78cu4d23/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://ni5ueyictub80jp3gi9pgozdjlldpxp5rc3waxshg5ojhopl7m3vdi8vl52v7pvoq7pk27p0e2qq0gzlqyq4garvrccrpyjrsb6n7jsyto0v8iqch9b7c8983cgm1hf7:latest/val/generations.table.json', '_type': 'table-file', 'ncols': 91, 'nrows': 2, 'size': 210343, 'path': 'media/table/val/generations_9_3ecb5af8e5c3c20e6d9c.table.json', 'sha256': '3ecb5af8e5c3c20e6d9cdcbfd89ebeb6eab022f942175a7f6dfd98971292b7f7'}",0.05,8i67e0vf,2025-05-12T02:04:33Z,yolorun-azure-hpc-H200-instance-019.core42.ai-20250512_015607-Qwen2.5-7B-think-4node-guru-full-minibsz64
20,0.525,0.1038961038961039,0.21212121212121213,0.0,0.1111111111111111,0.715,0.07916666666666666,0.25,0.696,0.13091717157512903,0.4006024096385542,0.36,0.725609756097561,"{'_latest_artifact_path': 'wandb-client-artifact://7xxmb714ynemfx6v8a8par544cllcr9iw20efams94fpxuibydj5182xgm392dptid4045jrplphrqpvjowikmeviqwjrori16iihldxnu2os2h4qunc99jib5dah4rd:latest/val/generations.table.json', 'size': 307187, '_type': 'table-file', 'ncols': 91, 'nrows': 3, 'path': 'media/table/val/generations_19_7107d7470fe72625b168.table.json', 'sha256': '7107d7470fe72625b168f2fc53d50890ffded392aecfc1a8ad0eed8db532034b', 'artifact_path': 'wandb-client-artifact://qgdlbixyfzlcr88zy7mthrbmkp6akjozpwa3zcha6kri6oqiiymswcxbh14izvh2rgpqsrfh15pzt1o0somdvze2b37xexjstrzgmjt7cdcbnv2y2c2hh2p1yb9sz45e/val/generations.table.json'}",0.08,8i67e0vf,2025-05-12T02:04:33Z,yolorun-azure-hpc-H200-instance-019.core42.ai-20250512_015607-Qwen2.5-7B-think-4node-guru-full-minibsz64
30,0.6,0.16883116883116883,0.3383838383838384,0.01,0.13978494623655913,0.67,0.125,0.27,0.708,0.2792931142821908,0.40963855421686746,0.35,0.774390243902439,"{'_type': 'table-file', 'ncols': 91, 'nrows': 4, 'path': 'media/table/val/generations_29_c67dfeec5cd2291169e3.table.json', 'sha256': 'c67dfeec5cd2291169e379dfa69145eee32c0e94b568e704a9abf124a82e6102', 'artifact_path': 'wandb-client-artifact://i1g7nxs5ubtya4ei21go3zkrwo3c8ot2acm2vcgxvd1bmprgcafoitrz18gfow2f69l97lu411331zzzdpyn47o3kudu913djhq5uim0lk70oa2h8wor88o9efw6gua2/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://5o54i3vfuney4mb5nr0zajil1n5hp8hwnmtw0sugod7g4001chn64rjjbxhmietzsnfv9s2h671ruxek8wouq651slp5rl0rv9gt18sstn7un9gza4eswd75x59nm5x9:latest/val/generations.table.json', 'size': 409948}",0.085,8i67e0vf,2025-05-12T02:04:33Z,yolorun-azure-hpc-H200-instance-019.core42.ai-20250512_015607-Qwen2.5-7B-think-4node-guru-full-minibsz64
40,0.655,0.15584415584415584,0.30808080808080807,0.025,0.16487455197132617,0.7,0.13333333333333333,0.37,0.716,0.32823955204337835,0.4578313253012048,0.35,0.7439024390243902,"{'path': 'media/table/val/generations_39_9128de9ba992f0a2ab00.table.json', 'sha256': '9128de9ba992f0a2ab00e05dc0099370981d91ccf04de73aa4264c7bd0143439', 'artifact_path': 'wandb-client-artifact://yfdakd5h2xs17x6f6cswyslgfl3cqem375bljqhrl50is9nubimx1fdobdepo906y89sntjs3d8dtmv2qg0te7kvqkrv5jqjcd5vcy5q1r90ax0zhi9ft5j2db2d5jee/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://o988ydafgqhtrrp7c54lz19kqxzw9ut2egjcjnsryelra6q04wn9ygkn0ioup9025gscgkcldrht4wgilg8ltziclcspleq1ghb6ext2gc8y2f3svm2oh5fpfef5tqll:latest/val/generations.table.json', 'size': 518823, '_type': 'table-file', 'ncols': 91, 'nrows': 5}",0.085,8i67e0vf,2025-05-12T02:04:33Z,yolorun-azure-hpc-H200-instance-019.core42.ai-20250512_015607-Qwen2.5-7B-think-4node-guru-full-minibsz64
50,0.65,0.1038961038961039,0.26262626262626265,0.045,0.16845878136200718,0.715,0.11666666666666667,0.39,0.738,0.34828309327363965,0.4789156626506024,0.345,0.7804878048780488,"{'size': 624295, '_type': 'table-file', 'ncols': 91, 'nrows': 6, 'path': 'media/table/val/generations_49_7d792a4bfd4afa22368b.table.json', 'sha256': '7d792a4bfd4afa22368ba3d559f200cf301fc195b37704cf496635fd16ac52ec', 'artifact_path': 'wandb-client-artifact://b6qrf9xfp1jze66tt9o6dcseea43sdup9qb8eq54u6tp09ze1d4e82cz7cxtc4by81zcebd73r5fghvb9tkjfhwiu5h05xlix0hqwp9ejzn02izm62t4kstor4yos39w/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://2htfm2fjjxclhqwgjchgw80dzepevhkq62lww4y3r7vifkon2agsvexmkl0cdyfb26jwmosenixexwl6fn0vicxcpvnblpz8n9xmk6azulmzsjcvi3naflbw5b8dxsyt:latest/val/generations.table.json'}",0.1,8i67e0vf,2025-05-12T02:04:33Z,yolorun-azure-hpc-H200-instance-019.core42.ai-20250512_015607-Qwen2.5-7B-think-4node-guru-full-minibsz64
60,0.645,0.24675324675324675,0.21717171717171718,0.04,0.14695340501792115,0.73,0.15833333333333333,0.4,0.752,0.3495068510994315,0.46686746987951805,0.37,0.8109756097560976,"{'_latest_artifact_path': 'wandb-client-artifact://ppkcvuln0wzbmvg80zbkqn4xr6zkv74sddkmxmqnym669li46ygglk07vfhbirvkveiautu416uaslk4h3fn6armerplg44pk4jm5u89onvg9ey5y1gnbszxc9pccgp7:latest/val/generations.table.json', 'size': 737350, '_type': 'table-file', 'ncols': 91, 'nrows': 7, 'path': 'media/table/val/generations_59_5ce173a6339d73ef0984.table.json', 'sha256': '5ce173a6339d73ef09846fb5c87fcfa93135bed2db02db99b7480be10e76632c', 'artifact_path': 'wandb-client-artifact://2bippxye1fu6ca393te8py6iqr3nfxc1uisxlsrtq9mywxp4zbrba8j92o8zju9fmms5rxklxhdkhp42wv36rl2j448a06j2fmsb23weh4pz3k6gq7ojxm8jc0y4z31v/val/generations.table.json'}",0.105,8i67e0vf,2025-05-12T02:04:33Z,yolorun-azure-hpc-H200-instance-019.core42.ai-20250512_015607-Qwen2.5-7B-think-4node-guru-full-minibsz64
70,0.665,0.2597402597402597,0.19696969696969696,0.04,0.14695340501792115,0.715,0.15833333333333333,0.44,0.726,0.3454763227701187,0.4819277108433735,0.4,0.7804878048780488,"{'_type': 'table-file', 'nrows': 8, 'path': 'media/table/val/generations_69_988658942118f383b2b1.table.json', 'sha256': '988658942118f383b2b1ad0108be6d9bcb1e8cbda65ab3c8f9018e862d9eca26', 'size': 855939, 'ncols': 91, 'artifact_path': 'wandb-client-artifact://xa2hplokupwm8exktem4qp5p2lnb77b28bvlz3flkvd9k3bxcw60cybzosm3zj8i483nstxgu7npyluf99na5qhjr3lqpj6r49giroqmoa04hfjzrszqgirjgtm6alvg/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://9ueejvri20t6q7ald45b7686ha33rcfgjwo89i5fl3ep8m72khdaw04rypfqp0xjej606zfp309ewgm9p9ieu4dr2pqc6pobm8yi03ug710jt1yocom9iynl5ry6j20g:latest/val/generations.table.json'}",0.115,8i67e0vf,2025-05-12T02:04:33Z,yolorun-azure-hpc-H200-instance-019.core42.ai-20250512_015607-Qwen2.5-7B-think-4node-guru-full-minibsz64
80,0.69,0.2857142857142857,0.2727272727272727,0.04,0.17204301075268819,0.705,0.15833333333333333,0.45,0.764,0.3528270061314106,0.4759036144578313,0.42,0.7804878048780488,"{'size': 960213, 'ncols': 91, 'sha256': '9f216d8c80efe2619111223fd7d7bc9f64ff9232ad9a3ab4d5ee2d7f9aeb9b6f', '_type': 'table-file', 'nrows': 9, 'path': 'media/table/val/generations_79_9f216d8c80efe2619111.table.json', 'artifact_path': 'wandb-client-artifact://v6uewc8pna5q68k2uzd1mz43aig7vn2vc77g25dto9day7cqupasno1ymaivzbpci1gs934error118vl1l43wup99lbctehalh4n0ogln1sj1ktcxd1p2iausw4248w/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://22lao7ed2sdzf6cp2ayrq4c7d61v9xqrcx5c49nylt5ppy0gltdio0rkqhjh9qihhbcab34iejud1gnwo0f80m5asht7rcmh6m0uhv5ubuvg8hp0mtam5724hqadsnzd:latest/val/generations.table.json'}",0.125,8i67e0vf,2025-05-12T02:04:33Z,yolorun-azure-hpc-H200-instance-019.core42.ai-20250512_015607-Qwen2.5-7B-think-4node-guru-full-minibsz64
90,0.7,0.3246753246753247,0.2727272727272727,0.035,0.1827956989247312,0.705,0.19583333333333333,0.45,0.764,0.35028783287853005,0.5030120481927711,0.395,0.8292682926829268,"{'_latest_artifact_path': 'wandb-client-artifact://t3pcwrtpp006gysy8d4meo46h2hmoueeh6poqm5psxemqmlysdcpaehmiqlag3nzcew9utpxji10q1ge6hl6zu9cwgr4xy3vq4ysaaml8c0a6iknqujtkyah77lvd5lc:latest/val/generations.table.json', 'size': 1076192.0, 'sha256': 'e66aa4aebbbe457be4f0f75269dd276f100d3c05f4557f443d2d6d7cb5de2656', '_type': 'table-file', 'ncols': 91, 'nrows': 10, 'path': 'media/table/val/generations_89_e66aa4aebbbe457be4f0.table.json', 'artifact_path': 'wandb-client-artifact://2u7stlmggcp2qo7sgkfq55g72xaixfu09fnjh0npy542x3hm94kti8tdyqjmm5g504frcrs2z7ileuljjgc7cqmm0wl4uv0emr9dkgzdlzf57s97c1sb8vqdpbxwch65/val/generations.table.json'}",0.12,8i67e0vf,2025-05-12T02:04:33Z,yolorun-azure-hpc-H200-instance-019.core42.ai-20250512_015607-Qwen2.5-7B-think-4node-guru-full-minibsz64
100,0.685,0.3246753246753247,0.30808080808080807,0.04,0.16487455197132617,0.74,0.19583333333333333,0.42,0.764,0.3589325593411922,0.5030120481927711,0.4,0.7926829268292683,"{'_type': 'table-file', 'nrows': 11, 'artifact_path': 'wandb-client-artifact://ty388756tibwtk212tvs6078lnqu693py98wnoaq7c9soxk69eo2zcrqpl45gcpkm9pivuvxrbun6thdjusx8ptcrnttgfizi0dxtbuau98ura9iyou2kyhsxfk3guu9/val/generations.table.json', 'size': 1187135.0, 'ncols': 91, 'path': 'media/table/val/generations_99_8635bbaec869eacc0260.table.json', 'sha256': '8635bbaec869eacc0260a75ced69de3a42f35b1a0c5a5822e5dbf61f92f3e0fb', '_latest_artifact_path': 'wandb-client-artifact://rvhsgosjya019abhfdc5wa3sgdac8emclqccu0so1avdl30sykmqrqcvknt9dc262myhexrgad4j5ynfdel99etsslbi42o1zv3nbd86di59v7rh0dy3ft7r1a34uq1j:latest/val/generations.table.json'}",0.125,8i67e0vf,2025-05-12T02:04:33Z,yolorun-azure-hpc-H200-instance-019.core42.ai-20250512_015607-Qwen2.5-7B-think-4node-guru-full-minibsz64
110,0.725,0.3246753246753247,0.29292929292929293,0.04,0.17204301075268819,0.72,0.15833333333333333,0.5,0.75,0.3602176477760077,0.5120481927710844,0.43,0.823170731707317,"{'size': 1291717.0, 'nrows': 12, 'path': 'media/table/val/generations_109_d16eaf4d54ae8acd29c5.table.json', 'sha256': 'd16eaf4d54ae8acd29c5d37975ef94585070858f017804f53ce4e1895cf8acab', '_type': 'table-file', 'ncols': 91, 'artifact_path': 'wandb-client-artifact://p9oo1ibazswxfbga6dq3v2rosirj6e3gz0ubgfppahsyj8xc89bjvbhrt1sq7q3di7cvpx8ul31e7z3wk673osip94za8rugwl50vtr7ugn89y88ty0cripmklllt51u/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://f5cdax1is10qhsrdxgi33h7a1vrmhde9bmghu53pqbaltgfcac87icupa2m07d7b9en8gsirojlw2cx78urhpnt5cdh3h5p8vabmedk7o66gmilhj92om5uop74ctok7:latest/val/generations.table.json'}",0.13,8i67e0vf,2025-05-12T02:04:33Z,yolorun-azure-hpc-H200-instance-019.core42.ai-20250512_015607-Qwen2.5-7B-think-4node-guru-full-minibsz64
120,0.72,0.37662337662337664,0.2878787878787879,0.045,0.17562724014336917,0.735,0.1625,0.47,0.742,0.3645351789146662,0.5090361445783133,0.42,0.8170731707317073,"{'sha256': 'fb0833f5e53039ae4bf1d40cbf6154e94493acfe136f36e7860967316bd6dc21', 'artifact_path': 'wandb-client-artifact://y4i4cv6dlrrn1hbfc2h9nx1glyvdbhzuaxqzifap1456vyut7m8vu2ys8uxo6o6lypx2uxdi78mrth5nfe01lflo0qxeea06se1o4afvwi3lkjvpxg908hiwujkzsz3f/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://bhcxenh3fzzgll2i5cu31ptnn4ffmt5upihwxjzkbjzsp2el2ralmrr0ykkqb9d2xe3zka4yy53kspcw6dkxonfpu8qywj5sdwocykl58wktlvr7w22ijfmxezwbfv0c:latest/val/generations.table.json', 'ncols': 91, 'path': 'media/table/val/generations_119_fb0833f5e53039ae4bf1.table.json', 'size': 1396203.0, '_type': 'table-file', 'nrows': 13}",0.13,8i67e0vf,2025-05-12T02:04:33Z,yolorun-azure-hpc-H200-instance-019.core42.ai-20250512_015607-Qwen2.5-7B-think-4node-guru-full-minibsz64
130,0.715,0.4155844155844156,0.2676767676767677,0.05,0.16845878136200718,0.735,0.175,0.47,0.756,0.36060757245868447,0.49096385542168675,0.415,0.8475609756097561,"{'size': 1500134.0, 'artifact_path': 'wandb-client-artifact://ssjp85cv0g9gpz3xxlxmwx46u74vxzgggdmvhhoc33qczvrf2zfz982b25hvf0pjk7gkgjpuhed3negdajocnxjy53qqcyk3qq7poglci8beqlnm30nfpeciixeae1i8/val/generations.table.json', '_type': 'table-file', 'ncols': 91, 'nrows': 14, 'path': 'media/table/val/generations_129_3f607afe36d7600ee9ab.table.json', 'sha256': '3f607afe36d7600ee9ab0409ac3ca26d7de887bff8c0244eb16fa0874f0c1771', '_latest_artifact_path': 'wandb-client-artifact://ao62oorwtccwe13y0d6um1r81xgwjitaph9lniqlbmoxvp8obhzbc6odwaoio0heshbdqk8ekqr0s7s8ise2yuc0006m0wdi1ol07o6umbbv31zz77cbvj94mijfv6dh:latest/val/generations.table.json'}",0.165,8i67e0vf,2025-05-12T02:04:33Z,yolorun-azure-hpc-H200-instance-019.core42.ai-20250512_015607-Qwen2.5-7B-think-4node-guru-full-minibsz64
